id,original_language
928773,en
7445,en
982620,en
752623,en
850028,en
791155,en
38757,en
626735,en
12445,en
1022728,en
760104,en
299534,en
872177,en
629176,en
338953,en
933943,de
1059673,en
675,en
580489,en
862965,en
744276,en
585083,en
262743,ja
674,en
673,en
676841,es
337167,en
878183,en
808,en
24428,en
676701,es
836225,en
111332,en
1003813,en
852046,fr
715931,en
934641,en
335787,en
924482,en
760161,en
816904,es
102899,en
1726,en
811656,en
717980,en
820067,ja
767,en
985335,en
597,en
672,en
68721,en
934433,en
768744,ja
855440,es
820232,ja
585511,en
671,en
1027159,ja
848058,es
864101,ru
960258,en
438695,en
1040603,en
916605,en
756999,en
508947,en
683328,id
324786,en
568124,en
1024546,en
760741,en
792775,is
497828,en
545611,en
732459,en
751741,en
67308,cn
987750,es
754452,en
869112,en
880841,en
575322,en
766507,en
661374,en
882598,en
610150,ja
675353,en
899579,en
740441,ko
299536,en
810693,ja
438148,en
830784,en
717728,en
1045944,en
718930,en
646385,en
453395,en
32516,cn
1078862,es
1063422,en
542196,en
551271,en
507086,en
411,en
615777,en
788752,no
943822,en
877703,en
818422,nl
980078,en
740952,en
873126,it
49046,de
877269,en
838484,en
966220,uk
668482,en
899112,en
480530,en
724495,en
312221,en
1013870,en
587092,es
1013860,en
634649,en
616037,en
746524,en
555604,en
947938,ru
361743,en
842544,en
840789,es
676547,en
887379,es
653851,en
996727,en
852096,en
1058732,en
1003580,en
736526,no
599019,ru
955991,en
931954,es
668482,en
480530,en
724495,en
631842,en
505642,en
315162,en
1011679,en
646389,en
1058949,en
772515,es
965839,en
536554,en
842942,en
677179,en
758009,en
640146,en
267805,en
937278,en
436270,en
1035806,en
550988,en
613504,en
588228,en
72190,en
214756,en
438631,en
1075536,tl
317442,ja
648579,en
49013,en
295830,ja
674324,en
425909,en
585245,en
335984,en
337339,en
883083,mk
150540,en
330457,en
736500,fr
804095,en
592350,ja
916719,en
18785,en
91314,en
1025169,th
844396,en
499338,en
177572,en
806929,en
846778,en
138843,en
898308,en
303857,ja
